"","WTP_Name","WTP_ID","WTP_Start_Yr","WTP_End_Yr","Vol_Treated","Units","Treatment_Level","Treatment_Source","1Chlorination Only","2Raw Water Storage/Presedimententation Basin","3Predisinfection/Oxidation Prior to Sedimentation - Chlorine","4Predisinfection/Oxid Prior to Sedimentation - Chlorine Diox","5Predisinfection/Oxidation Prior to Sedimentation - Chloramines","6Predisinfection/Oxidation Prior to Sedimentation - Ozone","7Predisinfection/Oxid Prior to Sedimentation - Potassium Per","8Predisinfection/Oxidation Prior to Sedimentation - Other","10Predisinfection/Oxidation Prior to Filtration - Chlorine","11Predisinfection/Oxid Prior to Filtration - Chlorine Dioxide","12Predisinfection/Oxid Prior to Filtration - Chloramines","13Predisinfection/Oxid Prior to Filtration - Ozone","14Predisinfection/Oxid Prior to Filtration - Potassium Perman","15Predisinfection/Oxid Prior to Filtration - Other","16Rapid Mix","17Coagulation/Flocculation","18Polymers","19Settling/Sedimentation","20Softening - Lime/Soda Ash","21Softening - Recarbonation","23Filtration - Direct Filtration","24Filtration - Micro Strainer","25Filtration - Slow Sand","27Filtration - Rapid Sand","30Filtration - Dual/Multi media","32Filtration - Other (specified)","33Post-Disinfection After Filters - Chlorine","34Post-Disinfection After Filters - Chlorine Dioxide","35Post-Disinfection After Filters - Chloramines","36Post-Disinfection After Filters - Ozone","37Post-Disinfection After Filters - UV","38Post-Disinfection After Filters - Other","39Post-Disinfection After Filters - Clearwell","41Membranes - Reverse Osmosis","42Membranes - Micro Filtration","43Membranes - Ultrafiltration","45Corrosion Control","46Miscellaneous - Ion Exchange","47Miscellaneous - Granular Activated Carbon","48Miscellaneous - Activated Alumina","49Miscellaneous - Aeration","50Miscellaneous - Other (specified - 1)","51Filtration","52Miscellaneous - Other (specified - 2)","Location","Filtration_Level","Disinfection_Level","Sedimentation_Level"
"1","Kansas City WTP",1,1925,999,NA,NA,"Tertiary",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,"Simple","Simple","Advanced"
"2","Vartry Works Roundwood",2,1862,999,NA,NA,"Tertiary",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Simple","Simple","Advanced"
"3","Dodder Works Ballyboden",3,NA,NA,NA,NA,"Tertiary",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Simple","Simple","Advanced"
"4","Liffey Works Ballymore Eustace",4,1936,999,NA,NA,"Tertiary",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Simple","Simple","Advanced"
"5","Lexilip TP",5,NA,NA,NA,NA,"Tertiary",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Simple","Simple","Advanced"
"6","Plantas de Tratamiento de las Aguas del Rio Rimac",6,1956,999,1728,"MLD","Tertiary",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,"Simple","Simple","Advanced"
"7","Lake Whitney Treatment Plant",7,1906,999,NA,NA,"Tertiary",NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"Advanced","Advanced","Advanced"
"8","Lake Saltonstall treatment plant",8,NA,NA,NA,NA,"Tertiary",NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Simple","Simple","Advanced"
"9","Lake Gaillard treatment plant",9,NA,NA,NA,NA,"Tertiary",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Simple","Advanced","Advanced"
"10","West river treatment plant",10,NA,NA,NA,NA,"Tertiary",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Simple","Advanced","Advanced"
