"","WW_Agency","WW_A_ID","WW_A_Pop","Pop_Source","WW_A_V_Tot","Units"
"1","Uttarakhand Jal Sansthan (UJS)",1000,NA,NA,NA,NA
"2","National Water and Sewerage Corporation",1004,NA,NA,NA,NA
"3","Dar es Salaam Water and Sewerage Corporation (DAWASCO)",1007,NA,NA,NA,NA
"4","Addis Ababa Water and Sewerage Authority (AAWSA)",1009,NA,NA,NA,NA
"5","Société des Eaux et de l’Assainissement d’Alger (SEAAL)",1010,NA,NA,NA,NA
"6","City of Cape Town Water and Sanitation",1015,NA,NA,NA,NA
"7","Shenzhen Water Group (SZWG)",1016,NA,NA,NA,NA
"8","Agra Jal Nigam",1068,NA,NA,NA,NA
"9","Allahabad Jal Sansthan",1069,NA,NA,NA,NA
"10","Aurangabad Municipal Corporation",1070,NA,NA,NA,NA
"11","Bangalore Water Supply and Sewerage Board",1071,NA,NA,NA,NA
"12","Baramatic Municipal Corporation",1072,NA,NA,NA,NA
"13","Chennai Metropolitan Water Supply and Sewerage Board",1073,NA,NA,NA,NA
"14","Delhi Jal Board (DJB)",1074,NA,NA,NA,NA
"15","HUDA",1075,NA,NA,NA,NA
"16","Hyderabad Metropolitan Water Supply and Sewerage Board",1076,NA,NA,NA,NA
"17","Jammu Municipal Corporation",1078,NA,NA,NA,NA
"18","Kanpur Jal Sansthan",1079,NA,NA,NA,NA
"19","Karnataka Urban Water Supply and Drainage Board",1080,NA,NA,NA,NA
"20","Karnataka Urban Water Supply and Sewerage Board",1081,NA,NA,NA,NA
"21","Kerala Water Authority",1082,NA,NA,NA,NA
"22","Kolkata Municipal Water and Sanitation Agency",1083,NA,NA,NA,NA
"23","Lucknow Jal Sansthan",1084,NA,NA,NA,NA
"24","Municipal Corporation of Faridabad",1085,NA,NA,NA,NA
"25","Municipal Corporation of Greater Mumbai",1086,NA,NA,NA,NA
"26","Nagar Palika Parishad",1087,NA,NA,NA,NA
"27","Nagpur Municipal Corporation",1088,NA,NA,NA,NA
"28","Patna Municipal Corporation",1089,NA,NA,NA,NA
"29","Public Health and Engineering Department",1092,NA,NA,NA,NA
"30","Public Works Dept",1093,NA,NA,NA,NA
"31","Pune Municipal Corporation",1094,NA,NA,NA,NA
"32","Punjab Water Supply & Sewerage Board",1095,NA,NA,NA,NA
"33","Rajkot Municipal Corporation",1096,NA,NA,NA,NA
"34","Solapur Municipal Corporation",1099,NA,NA,NA,NA
"35","Surat Municipal Corporation",1100,NA,NA,NA,NA
"36","Thane Municipal Corporation",1101,NA,NA,NA,NA
"37","Uttar Pradesh Jal Nigam",1102,NA,NA,NA,NA
"38","Vadodara Municipal Corporation",1103,NA,NA,NA,NA
"39","Unknown",4000,NA,NA,NA,NA
"40","Office National de l’Assainissement du Sénégal (ONAS)",4001,NA,NA,NA,NA
"41","SIBEAU (Private)",4002,NA,NA,NA,NA
"42","Private trucks",4003,NA,NA,NA,NA
"43","Freetown City Council (FCC)",4004,NA,NA,NA,NA
"44","Office National de l'Assainissement (ONAS)",4005,NA,NA,NA,NA
"45","Unknown",4006,NA,NA,NA,NA
"46","None",4007,NA,NA,NA,NA
"47","None",4008,NA,NA,NA,NA
"48","None",4009,NA,NA,NA,NA
"49","None",4010,NA,NA,NA,NA
"50","None",4011,NA,NA,NA,NA
"51","None",4012,NA,NA,NA,NA
"52","None",4013,NA,NA,NA,NA
"53","None",4014,NA,NA,NA,NA
"54","None",4015,NA,NA,NA,NA
"55","None",4016,NA,NA,NA,NA
"56","None",4017,NA,NA,NA,NA
"57","Montevideo Sanitation Division",4018,NA,NA,NA,NA
"58","Ganga Pollution Control Unit (GPCU)",4019,NA,NA,NA,NA
"59","Punjab Water Supply & Sewarage Circle",4020,NA,NA,NA,NA
