"","WW_Name","WW_ID","WW_Type","WW_Loc","WW_Qual","Treatment_Level","Destination","WW_Date"
"1","Mehrauli",3102,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"2","Najafgarh",3103,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"3","Nilothi",3104,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"4","Narela",3105,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"5","Okhla",3106,"River",NA,"Supplies biogas to 4000 households","Secondary and Higher","Yamuna River",NA
"6","Pappankalan",3107,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"7","Rithala",3108,"River",NA,"Generates electricity from biogas produced during treatment","Secondary and Higher","Yamuna River",NA
"8","Rohini",3109,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"9","Dr Sen Nursing Home",3110,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"10","Timarpur",3111,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"11","Yamuna Vihar",3112,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"12","Vasant Kunj",3113,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"13","Untreated Water",3114,"River",NA,NA,"None","Yamuna River",NA
"14","Badshahpur",3115,"River",NA,"Total treated by these plants leaves almost 100 MLD of untreated waste going into the Yamuna","Secondary and Higher","Yamuna River",NA
"15","Mirzapur",3116,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"16","Pratapgarh",3117,"River",NA,NA,"Secondary and Higher","Yamuna River",NA
"17","Untreated Water",3118,"River",NA,NA,"None","Yamuna River",NA
"18","Dhanwapur",3119,"River",NA,NA,"Primary","Yamuna River",NA
"19","Dhanwapur",3120,"River",NA,NA,"Primary","Yamuna River",NA
"20","Behrampur",3121,"River",NA,NA,"Primary","Yamuna River",NA
"21","Haryana Plant",3122,NA,NA,NA,"Secondary and Higher",NA,"Proposed"
"22","Behrampur",3123,NA,NA,NA,"Secondary and Higher",NA,"Proposed"
"23","Untreated Water",3124,"River",NA,NA,"None","Yamuna River",NA
