"","ID2","City_ID","WW_A_ID","WW_ID","WW_Vol","Units","Source"
"1",1,134,4000,3000,54,"MLD","https://docs.google.com/open?id=1e_Hc4ntewO_oAwFb4bO9LZ0-cqVlWIoLW-0Z5_dL3WCQGvlIIs0biaJ4YcBa"
"2",2,134,4000,3001,144,"MLD","https://docs.google.com/open?id=1e_Hc4ntewO_oAwFb4bO9LZ0-cqVlWIoLW-0Z5_dL3WCQGvlIIs0biaJ4YcBa"
"3",3,134,4000,3002,0,"0","https://docs.google.com/open?id=1e_Hc4ntewO_oAwFb4bO9LZ0-cqVlWIoLW-0Z5_dL3WCQGvlIIs0biaJ4YcBa"
"4",4,134,4000,3003,0,"0","https://docs.google.com/open?id=1e_Hc4ntewO_oAwFb4bO9LZ0-cqVlWIoLW-0Z5_dL3WCQGvlIIs0biaJ4YcBa"
"5",5,153,1004,3004,0,"0","http://www.iwawaterwiki.org/xwiki/bin/view/Articles/20%29+KAMPALA+%28Uganda%29+3"
"6",6,133,4001,3005,17,"MLD","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"7",7,133,4001,3006,3,"MLD","http://www.iwawaterwiki.org/xwiki/bin/view/Articles/11%29+DAKAR+%28Senegal%29+3#HWaterresourcesandsupply%3Aoverview"
"8",8,133,4001,3007,0,"0","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"9",9,133,4001,3008,0,"0","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"10",10,133,4001,3009,0,"0","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"11",11,133,4001,3010,0,"0","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"12",12,133,4001,3011,0,"0","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"13",13,133,4001,3012,0,"0","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"14",14,133,4001,3013,0,"0","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"15",15,133,4001,3014,0,"0","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"16",16,133,4001,3015,0,"0","http://www.irc.nl/content/download/146377/475711/file/Guy%20Norman.doc"
"17",17,132,1007,3016,0,"0","http://dawasa.co.tz/index.php/facilities?id=19"
"18",18,131,1009,3017,7,"MLD","http://www.ais.unwater.org/ais/pluginfile.php/231/mod_page/content/154/ethiopia_country_report.pdf"
"19",19,131,1009,3018,1,"MLD (acutally <1, only from spetic tanks)","http://www.ais.unwater.org/ais/pluginfile.php/231/mod_page/content/154/ethiopia_country_report.pdf"
"20",20,130,1010,3019,5e+05,"Eh (Équivalent-habitant)","http://www.oecd.org/mena/governance/43371773.pdf"
"21",21,130,1010,3020,15000,"Eh (Équivalent-habitant)","http://www.oecd.org/mena/governance/43371773.pdf"
"22",22,130,1010,3021,2e+05,"Eh (Équivalent-habitant)","http://www.oecd.org/mena/governance/43371773.pdf"
"23",23,130,1010,3022,2e+05,"Eh (Équivalent-habitant)","http://www.oecd.org/mena/governance/43371773.pdf"
"24",24,130,1010,3023,1800000,"Eh (Équivalent-habitant)","http://www.oecd.org/mena/governance/43371773.pdf"
"25",25,130,1010,3024,4e+05,"Eh (Équivalent-habitant)","http://www.oecd.org/mena/governance/43371773.pdf"
"26",26,129,4002,3025,0,"0","http://www.iwawaterwiki.org/xwiki/bin/view/Articles/10)+COTONOU+(Benin)+3"
"27",27,128,4003,3026,0,"0","http://ec.europa.eu/environment/enlarg/med/pdf/libya_en.pdf"
"28",28,127,4004,3027,0,"0","http://water.worldbank.org/sites/water.worldbank.org/files/publication/PER-in-WSS-SLeone.pdf"
"29",29,126,4005,3028,515,"MLD","http://www.emwis.org/documents/emwis-main-studies/studies-country/Tunisia_Final.pdf/download/1/Tunisia%20Final.pdf"
"30",30,125,1015,3029,77,"MLD","http://www.capetown.gov.za/en/Water/Documents/CoCT_Wastewater_S78_3_final_report_draft_17thSept_2010.pdf"
"31",31,125,1015,3030,0,"0","http://www.capetown.gov.za/en/Water/Documents/CoCT_Wastewater_S78_3_final_report_draft_17thSept_2010.pdf"
"32",32,125,1015,3031,24,"MLD","http://www.capetown.gov.za/en/Water/Documents/CoCT_Wastewater_S78_3_final_report_draft_17thSept_2010.pdf"
"33",33,125,1015,3032,105,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"34",34,125,1015,3033,55,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"35",35,125,1015,3034,33,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"36",36,125,1015,3035,6,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"37",37,125,1015,3036,40,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"38",38,125,1015,3037,1,"MLD (actually 0.03 MLD)","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"39",39,125,1015,3038,3,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"40",40,125,1015,3039,10,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"41",41,125,1015,3040,1,"MLD (actually 0.05 MLD)","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"42",42,125,1015,3041,18,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"43",43,125,1015,3042,1,"MLD (actually 0.6MLD)","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"44",44,125,1015,3043,57,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"45",45,125,1015,3044,6,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"46",46,125,1015,3045,1,"MLD (actually 0.03)","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"47",47,125,1015,3046,48,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"48",48,125,1015,3047,1,"MLD (actally 0.05)","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"49",49,125,1015,3048,1,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"50",50,125,1015,3049,1,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"51",51,125,1015,3050,47,"MLD","http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_5_WATER_SERVICE_INFRASTRUCTURE.pdf"
"52",52,125,1015,3051,8,"MLD","http://www.capetown.gov.za/en/Water/Documents/CoCT_Wastewater_S78_3_final_report_draft_17thSept_2010.pdf"
"53",53,125,1015,3052,4,"MLD","http://www.capetown.gov.za/en/Water/Documents/CoCT_Wastewater_S78_3_final_report_draft_17thSept_2010.pdf"
"54",54,125,1015,3053,14,"MLD","http://www.capetown.gov.za/en/Water/Documents/CoCT_Wastewater_S78_3_final_report_draft_17thSept_2010.pdf"
"55",55,125,1015,3054,14,"MLD","http://www.capetown.gov.za/en/Water/Documents/CoCT_Wastewater_S78_3_final_report_draft_17thSept_2010.pdf"
"56",56,124,1016,3055,270,"MLD","http://www.waterchina.com/en/catalog_7140.aspx"
"57",57,124,1016,3056,270,"MLD","http://www.waterchina.com/en/catalog_7140.aspx"
"58",58,124,1016,3057,270,"MLD","http://www.waterchina.com/en/catalog_7140.aspx"
"59",59,124,1016,3058,270,"MLD","http://www.waterchina.com/en/catalog_7140.aspx"
"60",60,39,1000,3059,7,"MLD","Excreta Matters"
"61",61,39,1000,3060,1,"MLD","Excreta Matters"
"62",62,39,1000,3061,0,"MLD","Excreta Matters"
"63",63,39,1000,3062,60,"MLD","Excreta Matters"
"64",64,39,1000,3063,40,"MLD","Excreta Matters"
"65",65,39,1000,3064,3,"MLD","Excreta Matters"
"66",66,39,1000,3065,78,"MLD","Excreta Matters"
"67",67,40,1078,3066,10,"MLD","Excreta Matters"
"68",68,40,1078,3067,27,"MLD","Excreta Matters"
"69",69,40,1078,3068,30,"MLD","Excreta Matters"
"70",70,40,1078,3069,88,"MLD","Excreta Matters"
"71",71,41,1000,3070,6,"MLD","Excreta Matters"
"72",72,42,1000,3071,5,"MLD","Excreta Matters"
"73",73,42,1000,3072,5,"MLD","Excreta Matters"
