"","DVSN_Name","DVSN_ID","DVSN_Type","DVSN_Date","DVSN_Loc","DVSN_Vol_Tot","Unit","Unmapped?"
"1","Murchison Bay - Lake Victoria",2000,"Lake",NA,"0.243654,32.641448",NA,NA,NA
"2","Seke Dam - Manyame River",2001,"River","1929","-17.979264,31.060752",4000,"MLD",NA
"3","Harava Dam - Manyame River",2002,"River","1973","-17.988377,31.105244",9000,"MLD",NA
"4","Lake Chivero",2003,"Lake","1952","-17.883597,30.770638",250000,"MLD",NA
"5","Lake Manyame - Darwendale Dam",2004,"Lake","1976","-17.820761,30.505105",480200,"MLD",NA
"6","Dakar Groundwater",2005,"Groundwater",NA,"14.760939,-17.318627",NA,NA,NA
"7","Lac de Guiers",2006,"Lake",NA,"16.349956,-15.780929",NA,NA,NA
"8","Unamed Boreholes",2007,"Groundwater",NA,"-6.792808,39.252777",NA,NA,NA
"9","Ruvu River - Upper Treatment Plant",2008,"River",NA,"-6.68987,38.695306",NA,NA,NA
"10","Ruvu River - Lower Treatment Plant",2009,"River",NA,"-6.538114°,  38.823011° (v. approx)",NA,NA,NA
"11","Kizinga River",2010,"River",NA,"-6.885266°,  39.262183° (approx)",NA,NA,NA
"12","Gefersa Reservoir",2011,"Reservoir","1944","9.063904,38.642024",NA,NA,NA
"13","Dire Dam",2012,"River",NA,"9.148706,38.933903",NA,NA,NA
"14","Legedadi Dam - Akaki River",2013,"River","1970","9.067623,38.961949",NA,NA,NA
"15","Akaki Wellfield",2014,"Groundwater","1995","8.907289,38.78327",NA,NA,NA
"16","Gerbi Dam - Gerbi River",2015,"River","Proposed","9.200573,38.763777",NA,NA,NA
"17","Sibilu Dam - Sibilu River",2016,"River","Proposed","9.302325,38.733841",NA,NA,NA
"18","Keddara Dam - Boudouaou River",2017,"River","1987","36.650556,3.416111",146500,"MLD",NA
"19","Takbset Dam",2018,"River","2007","36.429242,4.652655",180000,"MLD",NA
"20","Saa Dam",2019,"River",NA,"36.657403,2.922436",NA,NA,NA
"21","Petites SDEM",2020,"Ocean",NA,"36.678108,2.760249",NA,NA,NA
"22","Hamma",2021,"Ocean",NA,"36.752691,3.077448",NA,NA,NA
"23","Algiers Groundwater",2022,"Groundwater",NA,"36.788391,2.952522",NA,NA,NA
"24","Cotonou groundwater",2023,"Groundwater",NA,"6.395142,2.521942",NA,NA,NA
"25","Nubian Sandstone Aquifer System",2025,"Groundwater",NA,"22.512557,23.26561",NA,NA,NA
"26","Murzuk Basin Aquifer System",2026,"Groundwater",NA,"26.273714,12.674789",NA,NA,NA
"27","North-Western Sahara Aquifer System (NWSAS)",2027,"Groundwater",NA,"30.543339,11.532211",NA,NA,NA
"28","Unknown desalination plant",2028,"Ocean",NA,"32.907839,13.172852",NA,NA,NA
"29","Lake Guma - Guma Dam",2029,"Lake",NA,"8.360147,-13.199902",NA,NA,NA
"30","Kasseb Dam - Kasseb River",2030,"River",NA,"36.761665,9.002157",NA,NA,NA
"31","Sidi Salem Dam - Medjerda River",2031,"River",NA,"36.591791,9.396308",NA,NA,NA
"32","Joumine  Dam - Joumine  River",2032,"River",NA,"36.989374,9.613248",NA,NA,NA
"33","Sejnane Dam - Sejnane River",2033,"River",NA,"37.183501,9.46729",NA,NA,NA
"34","Beni Métir  Dam - Beni Métir  Reservoir",2034,"Reservoir",NA,"36.747808,8.741488",NA,NA,NA
"35","Kerkennah Desalination Plant",2035,"Ocean","1984","34.705167,11.204497",NA,NA,NA
"36","Gabes Desalination Plant",2036,"Ocean","1995","33.883412,10.107635",NA,NA,NA
"37","Zarzis Desalination Plant",2037,"Ocean","1999","33.487133,11.108152",NA,NA,NA
"38","Djerba Desalination Plant",2038,"Ocean","2000","33.737679,10.868685",NA,NA,NA
"39","Unnamed groundwater basin",2039,"Groundwater",NA,"36.816706,10.173683",NA,NA,NA
"40","Wemmershoek Dam - Wemmershoek River",2040,"River","1957","-33.8271, 19.0933",58644,"ML (for T Vol)",NA
"41","Steenbras Lower Dam - Steenbras River",2041,"River","1921","-34.187772,18.853032",33517,"ML (for T Vol)",NA
"42","Steenbras Upper Dam - Steenbras River",2042,"River","1921","-34.168032,18.901858",31767,"ML (for T Vol)",NA
"43","Voelvlei Dam - Berg River",2043,"River","1971","-33.403394,19.044579",164122,"ML (for T Vol)",NA
"44","Theewaterskloof Dam - Sonderend River",2044,"River","1978","-34.07583,19.290918",480250,"ML (for T Vol)",NA
"45","Berg River Dam - Berg River",2045,"River","2009","-33.908908,19.057843",130000,"ML (for T Vol)",NA
"46","Hely Hutchinson Dam",2046,"River","1904","-33.977055,18.407898",925,"ML (for T Vol)",NA
"47","Woodhead Dam",2047,"River","1897","-33.977367,18.402223",954,"ML (for T Vol)",NA
"48","Victoria Dam",2048,"River","1903","-33.986374,18.407784",128,"ML (for T Vol)",NA
"49","Alexandra Dam",2049,"River","1903","-33.988073,18.411679",126,"ML (for T Vol)",NA
"50","De Villiers Dam",2050,"River","1907","-33.992032,18.409915",243,"ML (for T Vol)",NA
"51","Kleinplaas Dam",2051,"River","1964","-34.171823,18.388526",1368,"ML (for T Vol)",NA
"52","Lewis Gay Dam",2052,"River","1952","-34.167295,18.396605",182,"ML (for T Vol)",NA
"53","Land en Zeezicht Dam",2053,"River","1976","-34.067841,18.871072",0.45,"Mm3",NA
"54","Palmiet Pumped Storage Scheme - furthest downstream dam",2054,"River",NA,"-34.244269,18.985543",62,"MLD",NA
