"","DVTR_Name","DVTR_ID","DVTR_Pop","Pop_Source","DVTR_Tot_Vol","Units"
"1","Uttarakhand Jal Sansthan (UJS)",1000,879000,"Excreta Matters",136,"MLD"
"2","Uttarakhand Peya Jal Nigam",1003,42300,"Excreta Matters",6,"MLD"
"3","National Water and Sewerage Corporation",1004,872433,"Target: 1,302,138; http://www.nwsc.co.ug/areasinfocus.html",97,"MLD"
"4","Ministry of Water Resources, Development, and Management",1005,NA,NA,544,"MLD"
"5","Senegalese Des Eaux (SDE)",1006,5000000,"519,756 customers in 2010; ""almost"" 5 mil people http://www.sde.sn/chifclientele.htm",240,"MLD"
"6","Dar es Salaam Water and Sewerage Corporation (DAWASCO)",1007,NA,NA,302,"MLD"
"7","Dar Es Salaam Water & Sewerage Authority (DAWASA)",1008,100000,"http://dawasa.co.tz/index.php/about-us",9,"MLD"
"8","Addis Ababa Water and Sewerage Authority (AAWSA)",1009,NA,NA,600,"MLD"
"9","Société des Eaux et de l’Assainissement d’Alger (SEAAL)",1010,460000,"subscribers; http://en.wikipedia.org/wiki/Water_privatization_in_Algeria#cite_note-5",1859,"MLD"
"10","Société Nationale des Eaux du Bénin (SONEB)",1011,162596,"subscribers; http://www.soneb.com/soneb.htm",78,"MLD"
"11","Unknown National Water Authority",1012,NA,NA,NA,NA
"12","Guma Valley Water Company (GVWC)",1013,NA,NA,72,"MLD"
"13","Société Nationale d'Exploitation et de Distribution des Eaux (SONEDE)",1014,2226000,"http://www.sonede.com.tn/an/E_P.html",1244,"MLD"
"14","City of Cape Town Water and Sanitation",1015,1088631,"http://www.capetown.gov.za/en/Water/WaterservicesDevPlan/Documents/WSDP_2012_2013/Topic_3_SERVICE_LEVEL.pdf",929,"MLD"
"15","Shenzhen Water Group (SZWG)",1016,2000000,"http://www.waterchina.com/en/catalog_7140.aspx",1670,"MLD"
"16","Obras Sanitarias del Estado (OSE)",1017,2996750,"http://www.ose.com.uy/a_agua.html",904,"MLD"
"17","Istanbul Su ve Kanalizasyon Idaresi (ISKI)",1018,NA,NA,NA,NA
"18","Canal de Isabel II Gestión",1019,6000000,"http://www.gestioncanal.es/conocenos/index.html",4500,"MLD (total known)"
"19","Lagos Water Corporation",1020,NA,NA,NA,NA
"20","Hidrocapital",1021,NA,NA,NA,NA
"21","Khartoum State Water Corporation (KSWC)",1022,NA,NA,NA,NA
"22","Arisu",1023,NA,NA,NA,NA
"23","PUB",1024,NA,NA,NA,NA
"24","City of Houston",1025,2052780,"http://quickfacts.census.gov/qfd/states/48/4835000.html",1514,"MLD"
"25","Philadelphia Water Department",1026,1547607,"http://quickfacts.census.gov/qfd/states/42/4260000.html",946,"MLD"
"26","City of Phoenix Water Services Department",1027,1500000,"http://phoenix.gov/webcms/groups/internet/@inter/@dept/@wsd/documents/web_content/wsdwqr2012.pdf",2638,"MLD"
"27","San Antonio Water System",1028,1300689,"http://www.saws.org/Your_Water/aquifer/docs/2011StatsBook.pdf",774,"MLD"
"28","National Water Company (NWC)",1029,NA,NA,NA,NA
"29","City of San Diego",1030,1300000,"http://www.sandiego.gov/water/pdf/waterreuse/2012/fy12annualwater121221.pdf",548,"MLD"
"30","Metropolitan Water District of Southern California (MWDSC)",1031,19000000,"http://www.mwdh2o.com/mwdh2o/pages/about/AR/AR12/Chapter-4.pdf",9842,"MLD"
"31","Dallas Water Utilities",1032,1241162,"http://quickfacts.census.gov/qfd/states/48/4819000.html",1292,"MLD"
"32","City of Chicago Department of Water Management",1033,2695598,"http://163.191.83.31/dww/JSP/WaterSystemDetail.jsp?tinwsys_is_number=716257&tinwsys_st_code=IL&wsnumber=IL0316000",3780,"MLD"
"33","Los Angeles Department of Water and Power",1034,4100260,"http://www.water.ca.gov/urbanwatermanagement/2010uwmps/Los%20Angeles%20Department%20of%20Water%20and%20Power/LADWP%20UWMP_2010_LowRes.pdf",1844,"MLD"
"34","New York City Department of Environmental Protection (DEP)",1035,9000000,"http://www.nyc.gov/html/dep/pdf/wsstate12.pdf",3785,"MLD"
"35","San Jose Water Company",1036,946494,"http://www.water.ca.gov/urbanwatermanagement/2010uwmps/San%20Jose%20Water%20Company/SJWC'S%202010%20UWMP%20with%20Appendicies.pdf",459,"MLD"
"36","Santa Clara Valley Water District",1037,1800000,"http://www.valleywater.org",1125,"MLD"
"37","JEA (formerly Jacksonville Electric Authority)",1038,305000,"https://www.jea.com/aboutus.aspx",454,"MLD"
"38","Citizens Water",1039,309241,"http://viewer.zmags.com/publication/cd7e84ea#/cd7e84ea/2",424,"MLD"
"39","San Francisco Public Utilities Commission",1040,2600000,"http://sfwater.org/index.aspx?page=634",1003,"MLD"
"40","Austin Water Utility",1041,890000,"http://austintexas.gov/department/water/about",553,"MLD"
"41","Columbus Department of Public Utilities",1042,1100000,"http://publicutilities.columbus.gov/DocListing.aspx?id=38046",530,"MLD"
"42","Fort Worth Water Department",1043,686850,"http://fortworthtexas.gov/uploadedFiles/Water/Save_FW_water/FinalWCP09.pdf",1741,"MLD"
"43","Charlotte-Mecklenburg Utilities",1044,800000,"http://charmeck.org/city/charlotte/Utilities/PublicationsandEducation/Documents/2012%20Full%20Water%20Quality%20Report.pdf",379,"MLD"
"44","Detroit Water and Sewerage Department",1045,4000000,"http://www.dwsd.org/downloads_n/about_dwsd/masterplan_freshwater/Task_D_SWP_w_Appendix.pdf",2423,"MLD"
"45","City of Baltimore Department of Public Works  Bureau of Water & Wastewater",1046,1800000,"http://www.cleanwaterbaltimore.org/where-your-drinking-water-comes-from.asp",852,"MLD"
"46","Massachusetts Water Resources Authority",1047,850000,"http://www.mwra.state.ma.us/annual/waterreport/2012results/metro.htm",757,"MLD"
"47","Seattle Public Utilities",1048,634535,"http://quickfacts.census.gov/qfd/states/53/5363000.html",457,"MLD"
"48","District of Columbia Water and Sewer Authority",1049,2200000,"http://www.dcwater.com/about/gen_information.cfm",401,"MLD"
