"","DVSN_Name","DVSN_ID","Year_Built","Year_Decomissioned","Cost_to_build","Location","Source"
"1","Kaw River",5000,1874,222,NA,"39.067447,-94.761742",NA
"2","Kansas City GW",5001,111,999,888,NA,NA
"3","Grand Canal",5002,1756,1860,NA,"53.329758,-6.27032",NA
"4","Royal Canal",5003,1817,1860,NA,"53.375553,-6.320134",NA
"5","La Atarjea spring",5029,1578,1855,NA,"-12.034399,-76.975463","http://www.sedapal.com.pe/hitos-historicos"
"6","Golden Hill log flume",5004,1818,1845,NA,"41.178848,-73.193757",NA
"7","Masonry Tank Reservoir",5018,1853,222,NA,"41.211205,-73.181833",NA
"8","Lower Reservoir",5019,1853,222,NA,"41.190798,-73.191961",NA
"9","Jamaica Pond",5005,1795,1848,NA,"42.317019,-71.119616",NA
"10","Lake Cochituate",5006,1848,1947,NA,"42.313941,-71.373503",NA
"11","Sudbury Reservoir",5007,1878,1976,NA,"42.317051,-71.505732",NA
"12","Whitehall Reservoir",5008,1878,1947,NA,"42.230742,-71.571135",NA
"13","Hopkinton Reservoir",5009,1878,1947,NA,"42.256539,-71.514658",NA
"14","Ashland Reservoir",5010,1878,1947,NA,"42.245675,-71.462387",NA
"15","Stearns Reservoir",5011,1878,1976,NA,"42.29185,-71.445049",NA
"16","Brackett Reservoir",5012,1878,1976,NA,"42.275277,-71.443504",NA
"17","Foss Reservoir",5013,1878,1976,NA,"42.297564,-71.463846",NA
"18","Bell Pond",5014,1848,NA,NA,NA,NA
"19","NYC GW",5015,1600,1776,NA,NA,NA
"20","Broadway reservoir",5016,1776,1842,NA,"40.733486,-73.988748",NA
"21","Old Croton Reservoir",5017,1842,1906,NA,"41.233333,-73.800556",NA
"22","Nairobi GW",5030,111,999,NA,"-1.290784,36.848037",NA
"23","Chand baori",5031,111,333,NA,"27.007202,76.606502",NA
"24","Jalap baori",5032,111,333,NA,"26.288036,73.015268",NA
"25","Tapi baori",5033,111,333,NA,"26.29101,73.01541",NA
"26","Ranisar Reservoir",5034,1460,222,NA,"26.299282,73.015949",NA
"27","Padamsar Reservoir",5035,1520,222,NA,"26.299455,73.015216",NA
"28","Balsamand Lake",5036,1126,222,NA,"26.331153,73.020709",NA
"29","Kailana-Takhatsagar",5037,NA,222,NA,"26.307054,72.972754",NA
"30","Nalapani springs",5038,1889,222,NA,"30.394199,78.087037",NA
"31","Kalunga Canal",5039,1935,1936,NA,NA,NA
"32","Poole's Creek",5040,1875,1885,NA,"33.690246,-84.377727",NA
"33","Atlanta GW",5041,111,1893,NA,"33.734619,-84.372353",NA
"34","Baltimore GW",5057,111,1800,NA,"39.298838,-76.607521",NA
"35","Jones Falls Reservoir",5042,1800,1862,NA,"39.296422,-76.613129",NA
"36","Lake Roland",5043,1862,222,289539,"39.382594,-76.643868",NA
"37","Lake Hampden",5044,1862,1915,206643,"39.326505,-76.635831",NA
"38","Mount Royal Reservoir",5045,1862,1910,NA,"39.311075,-76.625007",NA
"39","Lake Chapman (Druid Lake)",5046,1865,222,300000,"39.318421,-76.636163",NA
"40","Table Mountain streams",5047,111,1660,NA,"-33.945674,18.405229",NA
"41","Golden Acre Reservoir",5048,1660,222,NA,"-34.074257,18.863136",NA
"42","Aqueduto da Carioca",5049,1723,1890,NA,"-22.912464,-43.179797",NA
"43","Local Rio water (surface and alluvial)",5050,111,1723,NA,NA,NA
"44","Carioca River",5051,1723,1890,NA,NA,NA
"45","Tijuca system",5052,1850,1920,NA,"-22.926224,-43.254046",NA
"46","Gávea system",5053,1840,1920,NA,"-22.982812,-43.235506",NA
"47","Jacarepaguá system",5054,1830,1920,NA,"-22.95049,-43.419197",NA
"48","Campo Grande system",5055,1840,1920,NA,"-22.884241,-43.564423",NA
"49","Guaratiba system",5056,1850,1920,NA,"-22.992847,-43.571831",NA
"50","Kanda water supply",5057,1590,222,NA,"35.706197,139.750323","http://www.waterworks.metro.tokyo.jp/water/jigyo/syokai/06.html"
"51","Delhi rainwater",5058,1210,222,NA,NA,NA
"52","Hauz-e-Alai Reservoir",5059,1296,222,NA,"28.554992,77.191785","Excreta Matters"
"53","Shahjahani canal",5060,1627,1890,NA,NA,"Excreta Matters"
"54","Springs of Chapultepec",5064,1462,1521,NA,"19.421916,-99.183332","http://www.planetseed.com/uploadedfiles/voices/workshops/hdl/mexico2/static/html/116.html"
